,date,rmse
0,2022-05-26,0.12540931849260278
1,2022-05-27,0.12212474341828254
2,2022-05-31,0.24845005107529988
3,2022-06-01,0.4720503546332614
4,2022-06-02,0.06372578939513318
5,2022-06-03,0.08727513846794484
6,2022-06-06,0.07361647267924432
7,2022-06-07,0.13471074781727418
8,2022-06-08,0.10659929842832593
9,2022-06-09,0.1353827605184182
10,2022-06-10,0.1777156785244892
11,2022-06-13,0.27040927813033294
12,2022-06-14,0.3328315191581313
13,2022-06-15,0.2954952351328728
14,2022-06-16,0.10995809466544934
15,2022-06-17,0.08843032467319333
16,2022-06-21,0.16732032967163515
17,2022-06-22,0.25839944205058596
18,2022-06-23,0.18450369561429417
19,2022-06-24,0.14046331357564779
20,2022-06-27,0.08910102125763228
21,2022-06-28,0.16922652267810956
22,2022-06-29,0.11357035644697824
23,2022-06-30,0.06497605018504335
24,2022-07-01,0.05047526846115222
25,2022-07-05,0.03731809151728077
26,2022-07-06,0.09754785089121852
27,2022-07-07,0.168562602887868
28,2022-07-08,0.19888397846138892
29,2022-07-11,0.09617164596978352
30,2022-07-12,0.31719628394922816
31,2022-07-13,0.36247967433688655
32,2022-07-14,0.07486133444257675
33,2022-07-15,0.05359538475014849
34,2022-07-18,0.026823655226139286
35,2022-07-19,0.08934155981444761
36,2022-07-20,0.11011906353151275
37,2022-07-21,0.10130786626736678
38,2022-07-22,0.0228579897301155
39,2022-07-25,0.028889469480118533
40,2022-07-26,0.04883414168197891
41,2022-07-27,0.23583789736595742
42,2022-07-28,0.03612139612535682
43,2022-07-29,0.023781376826888252
44,2022-08-01,0.24903812666161657
45,2022-08-02,0.05193726456848037
46,2022-08-03,0.048497586448394844
47,2022-08-04,0.042071558440684435
48,2022-08-05,0.022793364790503614
49,2022-08-08,0.17078774438346558
50,2022-08-09,0.043834408411148
51,2022-08-10,0.08256314797027187
52,2022-08-11,0.02249853354788229
53,2022-08-12,0.02260206886076444
54,2022-08-15,0.07084880458536635
55,2022-08-16,0.4672375310262356
56,2022-08-17,0.19714669147993227
57,2022-08-18,0.014945287633565205
58,2022-08-19,0.20719645366498632
59,2022-08-22,0.07099060116122702
60,2022-08-23,0.09659621628224871
61,2022-08-24,0.10029202347805932
62,2022-08-25,0.06602144165582564
63,2022-08-26,0.07246758047791445
64,2022-08-29,0.4734443707658043
65,2022-08-30,0.09373832591545214
66,2022-08-31,0.12861038955678858
67,2022-09-01,0.025459157350097995
68,2022-09-02,0.07063614732543415
69,2022-09-06,0.17952460885429763
70,2022-09-07,0.07349830771192488
71,2022-09-08,0.09233133086236105
72,2022-09-09,0.10962108570843582
73,2022-09-12,0.13640756353618275
74,2022-09-13,0.08659415155627695
75,2022-09-14,0.04154833483255216
76,2022-09-15,0.4155019887543517
77,2022-09-16,0.139480927371572
78,2022-09-19,0.2878068799924549
79,2022-09-20,0.10702877568056764
80,2022-09-21,0.44610926494450653
81,2022-09-22,0.1720844950926197
82,2022-09-23,0.07624785753283501
83,2022-09-26,0.20075637488100048
84,2022-09-27,0.0504689835507718
85,2022-09-28,0.10562606056685722
86,2022-09-29,0.1541452955345528
87,2022-09-30,0.22424020577492526
88,2022-10-03,0.17263574629962453
89,2022-10-04,0.06807058692300698
90,2022-10-05,0.10453644141297315
91,2022-10-06,0.11636613840455344
92,2022-10-07,0.07712765035656736
93,2022-10-10,0.3276463133179305
94,2022-10-11,0.30494965183892475
95,2022-10-12,0.3977642926294816
96,2022-10-13,0.38103050321641757
97,2022-10-14,0.09336448527249365
98,2022-10-17,0.08243799053007601
99,2022-10-18,0.09934305659514915
100,2022-10-19,0.1883925809890651
101,2022-10-20,0.14602455950340976
102,2022-10-21,0.0354444214514088
103,2022-10-24,0.013519231907698773
104,2022-10-25,0.02562439958057465
105,2022-10-26,0.06508828826576905
106,2022-10-27,0.07940005765380147
107,2022-10-28,0.027252378644357214
108,2022-10-31,0.44591491236112246
109,2022-11-01,0.4525374886117599
110,2022-11-02,0.2324713581138768
111,2022-11-03,0.036105792981470354
112,2022-11-04,0.02665204378781819
113,2022-11-07,0.07502665313119856
114,2022-11-08,0.1367495103298776
115,2022-11-09,0.1026645302711084
116,2022-11-10,0.0512661777315922
117,2022-11-11,0.03367057668297686
118,2022-11-14,0.1784823316180173
119,2022-11-15,0.09929333627419402
120,2022-11-16,0.0980128324806183
121,2022-11-17,0.03379727898362863
122,2022-11-18,0.029205645577898325
123,2022-11-21,0.17190899758499398
124,2022-11-22,0.2749966057240682
125,2022-11-23,0.19917146142912
126,2022-11-25,0.06787787816623124
127,2022-11-28,0.49654724040969755
128,2022-11-29,0.0772237123782834
129,2022-11-30,0.08077717701114524
130,2022-12-01,0.15301535264201677
131,2022-12-02,0.18770879710749147
132,2022-12-05,0.09564967564198772
133,2022-12-06,0.06370448869483106
134,2022-12-07,0.7011522628771637
135,2022-12-08,0.1247372864602906
136,2022-12-09,0.10788780437278701
137,2022-12-12,0.20434637919258278
138,2022-12-13,0.450429167022195
139,2022-12-14,0.12301212045237928
140,2022-12-15,0.20096725084130931
141,2022-12-16,0.09391110278712472
142,2022-12-19,0.36614563972714215
143,2022-12-20,0.1165156696690405
144,2022-12-21,0.12588599718970997
145,2022-12-22,0.1083362011978363
146,2022-12-23,0.06147812903406198
147,2022-12-27,0.175955184574592
148,2022-12-28,0.12656584973446416
149,2022-12-29,0.026002505244436525
150,2022-12-30,0.03066191128599615
151,2023-01-03,0.48773218851932365
152,2023-01-04,0.06784263897578739
153,2023-01-05,0.08269852355795232
154,2023-01-06,0.059201426238935165
