,date,rmse
0,2022-06-21,0.07387818372031983
1,2022-06-22,0.3315277994501095
2,2022-06-23,0.18634509528306079
3,2022-06-24,0.08787846825846059
4,2022-06-27,0.07870849880375083
5,2022-06-28,0.14455231500051424
6,2022-06-29,0.3722538651677231
7,2022-06-30,0.07527687309218355
8,2022-07-01,0.07732184805952728
9,2022-07-05,0.043006531290414686
10,2022-07-06,0.06060117942973072
11,2022-07-07,0.38249811302415976
12,2022-07-08,0.21263014626631677
13,2022-07-11,0.056423130112577616
14,2022-07-12,0.11046979259029902
15,2022-07-13,0.16184234746821483
16,2022-07-14,0.26391427447647847
17,2022-07-15,0.3920660526822665
18,2022-07-18,0.2500238160830187
19,2022-07-19,0.13517461398339997
20,2022-07-20,0.0849067649027795
21,2022-07-21,0.07060990017872107
22,2022-07-22,0.13413031891823254
23,2022-07-25,0.09682863777659789
24,2022-07-26,0.0842302469457433
25,2022-07-27,0.32083056510534735
26,2022-07-28,0.14430182380098147
27,2022-07-29,0.19990956112793834
28,2022-08-01,0.3158637335632687
29,2022-08-02,0.10400069870573621
30,2022-08-03,0.3144286498676607
31,2022-08-04,0.0809929892262534
32,2022-08-05,0.09447455639879018
33,2022-08-08,0.0940370418480323
34,2022-08-09,0.0629128198074351
35,2022-08-10,0.1521050894511884
36,2022-08-11,0.12077717953585629
37,2022-08-12,0.11034692123923981
38,2022-08-15,0.11374408246592488
39,2022-08-16,0.3369841606455184
40,2022-08-17,0.15357579612139058
41,2022-08-18,0.07632219066226284
42,2022-08-19,0.08008341269746548
43,2022-08-22,0.054673148811012186
44,2022-08-23,0.38239177968591914
45,2022-08-24,0.271703267763819
46,2022-08-25,0.09945476205942806
47,2022-08-26,0.14075538475387533
48,2022-08-29,0.556898728677078
49,2022-08-30,0.07934069295196486
50,2022-08-31,0.46354959782679084
51,2022-09-01,0.0439203011884904
52,2022-09-02,0.017053957182348412
53,2022-09-06,0.5259580269844066
54,2022-09-07,0.0574194390024856
55,2022-09-08,0.040405082521433454
56,2022-09-09,0.18787502074842222
57,2022-09-12,0.12087931251397846
58,2022-09-13,0.5461396466774732
59,2022-09-14,0.09684795462227737
60,2022-09-15,0.10684033776437349
61,2022-09-16,0.17902848649051686
62,2022-09-19,0.40603515090277453
63,2022-09-20,0.16925874987887746
64,2022-09-21,0.49753436726241396
65,2022-09-22,0.19653008891953408
66,2022-09-23,0.10085355589446185
67,2022-09-26,0.5034739949896002
68,2022-09-27,0.0956025207583853
69,2022-09-28,0.14556947902619807
70,2022-09-29,0.2042547659249528
71,2022-09-30,0.2601358747965175
72,2022-10-03,0.08060867465178065
73,2022-10-04,0.11056445142295554
74,2022-10-05,0.07878178881465007
75,2022-10-06,0.0646943236818395
76,2022-10-07,0.28064419823044034
77,2022-10-10,0.28648571030541586
78,2022-10-11,0.3230894332496805
79,2022-10-12,0.13451046975995276
80,2022-10-13,0.35412032524691817
81,2022-10-14,0.1396381438256495
82,2022-10-17,0.07970996568199167
83,2022-10-18,0.07758643961933605
84,2022-10-19,0.11952664281493823
85,2022-10-20,0.20431310070714884
86,2022-10-21,0.17680075145031127
87,2022-10-24,0.04789672770528488
88,2022-10-25,0.14530268229183738
89,2022-10-26,0.08253315259103154
90,2022-10-27,0.10906697416033993
91,2022-10-28,0.15879280173864493
92,2022-10-31,0.2300729886048611
93,2022-11-01,0.41335282306623977
94,2022-11-02,0.31761709176545644
95,2022-11-03,0.04350702581859358
96,2022-11-04,0.08642266749305977
97,2022-11-07,0.14333207645805748
98,2022-11-08,0.11904640468564803
99,2022-11-09,0.13820861843452653
100,2022-11-10,0.20161725408229117
101,2022-11-11,0.1426959132719475
102,2022-11-14,0.4893495967059882
103,2022-11-15,0.06250264269631284
104,2022-11-16,0.5004747427788743
105,2022-11-17,0.12014155050923472
106,2022-11-18,0.1289304709251703
107,2022-11-21,0.4223166971215581
108,2022-11-22,0.3435884301673042
109,2022-11-23,0.25787736763835367
110,2022-11-25,0.13637801775241265
111,2022-11-28,0.5083955016187506
112,2022-11-29,0.11683873493190917
113,2022-11-30,0.12260188749869813
114,2022-12-01,0.14755756323392086
115,2022-12-02,0.26479136653594915
116,2022-12-05,0.3819441233713473
117,2022-12-06,0.04739333219554638
118,2022-12-07,0.08741892156830383
119,2022-12-08,0.09996772570116069
120,2022-12-09,0.2202279178315102
121,2022-12-12,0.23267487595096276
122,2022-12-13,0.4059502399979979
123,2022-12-14,0.0818742666113417
124,2022-12-15,0.30355139419923827
125,2022-12-16,0.2521778352146661
126,2022-12-19,0.6682264846591888
127,2022-12-20,0.1162297472644817
128,2022-12-21,0.07444429617377761
129,2022-12-22,0.10225470932233104
130,2022-12-23,0.09874956859200176
131,2022-12-27,0.24590113054150217
132,2022-12-28,0.09440940177516478
133,2022-12-29,0.07595624651230945
134,2022-12-30,0.04534846943019184
135,2023-01-03,0.08735243660707791
136,2023-01-04,0.06286672251118336
137,2023-01-05,0.088735644807722
138,2023-01-06,0.05140305529587443
139,2023-01-09,0.08875960121770649
140,2023-01-10,0.17665357417763286
141,2023-01-11,0.12295296974144693
142,2023-01-12,0.21850136806545953
143,2023-01-13,0.19347587100324443
144,2023-01-17,0.1480770192807749
145,2023-01-18,0.087701691495769
146,2023-01-19,0.27465326404860213
147,2023-01-20,0.15925124215162545
148,2023-01-23,0.06572517681194878
149,2023-01-24,0.22914965738591206
150,2023-01-25,0.024577796338022085
151,2023-01-26,0.03842016397572258
152,2023-01-27,0.0848276365238147
153,2023-01-30,0.08508452094824323
154,2023-01-31,0.08671495991973052
